T:3.195702e+00 E:4.592494e+03 P:4.466224e+01 r2:1.185852e-01
T:3.194572e+00 E:4.592484e+03 P:4.467250e+01 r2:1.190810e-01
T:3.193783e+00 E:4.592476e+03 P:4.468038e+01 r2:1.195754e-01
T:3.193329e+00 E:4.592478e+03 P:4.468564e+01 r2:1.200683e-01
T:3.193203e+00 E:4.592476e+03 P:4.468817e+01 r2:1.205596e-01
T:3.193398e+00 E:4.592465e+03 P:4.468864e+01 r2:1.210493e-01
T:3.193903e+00 E:4.592477e+03 P:4.468704e+01 r2:1.215375e-01
T:3.194703e+00 E:4.592442e+03 P:4.468359e+01 r2:1.220242e-01
T:3.195778e+00 E:4.592435e+03 P:4.467677e+01 r2:1.225094e-01
T:3.197093e+00 E:4.592425e+03 P:4.466793e+01 r2:1.229931e-01
T:3.198604e+00 E:4.592469e+03 P:4.465788e+01 r2:1.234754e-01
T:3.200253e+00 E:4.592487e+03 P:4.464665e+01 r2:1.239563e-01
T:3.201966e+00 E:4.592490e+03 P:4.463457e+01 r2:1.244360e-01
T:3.203662e+00 E:4.592451e+03 P:4.462280e+01 r2:1.249145e-01
T:3.205253e+00 E:4.592415e+03 P:4.461143e+01 r2:1.253919e-01
T:3.206652e+00 E:4.592356e+03 P:4.460114e+01 r2:1.258684e-01
T:3.207779e+00 E:4.592341e+03 P:4.459340e+01 r2:1.263439e-01
T:3.208568e+00 E:4.592312e+03 P:4.458772e+01 r2:1.268186e-01
T:3.208977e+00 E:4.592310e+03 P:4.458476e+01 r2:1.272926e-01
T:3.208989e+00 E:4.592310e+03 P:4.458349e+01 r2:1.277660e-01
T:3.208616e+00 E:4.592317e+03 P:4.458507e+01 r2:1.282388e-01
T:3.207901e+00 E:4.592339e+03 P:4.458902e+01 r2:1.287112e-01
T:3.206918e+00 E:4.592384e+03 P:4.459436e+01 r2:1.291831e-01
T:3.205760e+00 E:4.592381e+03 P:4.460078e+01 r2:1.296546e-01
T:3.204537e+00 E:4.592397e+03 P:4.460741e+01 r2:1.301258e-01
T:3.203367e+00 E:4.592448e+03 P:4.461385e+01 r2:1.305967e-01
T:3.202367e+00 E:4.592450e+03 P:4.461956e+01 r2:1.310673e-01
T:3.201643e+00 E:4.592444e+03 P:4.462440e+01 r2:1.315377e-01
T:3.201285e+00 E:4.592456e+03 P:4.462618e+01 r2:1.320079e-01
T:3.201363e+00 E:4.592482e+03 P:4.462554e+01 r2:1.324779e-01
T:3.201919e+00 E:4.592484e+03 P:4.462105e+01 r2:1.329478e-01
